Category,Description,Nutrient Data Bank Number,Data.Alpha Carotene,Data.Carbohydrate,Data.Cholesterol,Data.Fiber,Data.Protein,Data.Water,Data.Major Minerals.Magnesium,Data.Major Minerals.Phosphorus,Data.Major Minerals.Potassium,Data.Vitamins.Vitamin B12,Result
Chicken or turkey,"Chicken or turkey, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",27341055,321,11.09,14,1.7,4.81,75.62,18,62,282,0.05,Yes
Chicken or turkey,"Chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",27341060,6,12.18,14,1.6,4.84,74.53,20,64,287,0.05,No
Chicken or turkey stew with potatoes and vegetables including carrots,"Chicken or turkey stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",27341310,382,7.85,21,1.2,6.08,82.6,14,73,238,0.07,No
Chicken or turkey stew with potatoes and vegetables excluding carrots,"Chicken or turkey stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",27341320,3,8.68,20,1.5,6.57,81.37,16,78,210,0.07,No
Chicken or turkey stew with potatoes and vegetables including carrots,"Chicken or turkey stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",27341510,380,9.05,21,1.9,6.33,80.85,17,78,305,0.07,Yes
Chicken or turkey stew with potatoes and vegetables excluding carrots,"Chicken or turkey stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; tomato- based sauce",27341520,3,9.83,20,2.2,6.82,79.68,19,84,275,0.07,No
Chicken or turkey,"Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",27343010,446,16.59,37,1.5,7.95,68.67,20,98,113,0.12,No
Chicken or turkey,"Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",27343020,9,18.11,37,1.4,8,67.19,22,101,120,0.12,Yes
Chicken or turkey,"Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",27343410,330,13.69,29,1.1,6.08,73.42,15,77,94,0.09,Yes
Chicken or turkey,"Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",27343420,6,14.86,29,1,6.13,72.6,17,80,100,0.09,No
Chicken or turkey,"Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce",27343470,306,13.46,26,1.2,6.06,73.62,15,81,106,0.13,No
Chicken or turkey,"Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce",27343480,6,14.5,26,1.1,6.09,72.56,17,84,111,0.13,Yes
Chicken or turkey,"Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",27343510,328,13.58,28,1.5,6.16,73.03,18,79,161,0.09,Yes
Chicken or turkey,"Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",27343520,6,14.69,28,1.4,6.19,71.93,20,81,166,0.09,No
Chicken or turkey chow mein or chop suey with noodles,Chicken or turkey chow mein or chop suey with noodles,27343910,16,11.15,33,1.5,9.91,72.26,14,99,174,0.11,Yes
Chicken or turkey,"Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce",27343950,341,14.16,39,1.1,8.9,69.44,20,137,125,0.19,Yes
Chicken or turkey,"Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",27343960,7,15.32,39,1.1,8.93,68.3,22,140,130,0.19,Yes
Chicken or turkey,"Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",27345010,442,18.2,20,1,6.78,68.3,14,77,110,0.06,Yes
Chicken or turkey,"Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",27345020,9,19.78,20,0.9,6.85,67.14,17,81,117,0.06,No
Chicken or turkey,"Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",27345210,327,14.89,16,0.8,5.21,73.05,11,62,92,0.05,No
Chicken or turkey,"Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",27345220,6,16.03,16,0.7,5.25,72.1,13,65,98,0.05,No
Chicken or turkey,"Chicken or turkey, rice, corn, and cheese, with gravy",27345230,4,14.37,16,0.7,5.66,70.51,16,100,141,0.12,Yes
Chicken or turkey,"Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",27345310,512,8.07,33,1.1,9.4,74.47,18,102,215,0.11,No
Chicken or turkey,"Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",27345320,8,7.84,35,0.8,9.56,74.36,17,101,197,0.11,No
Chicken or turkey,"Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce",27345410,304,14.58,14,0.8,5.26,73.27,11,67,104,0.09,Yes
Chicken or turkey,"Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; cream sauce, white sauce, or mushroom sauce",27345420,6,15.67,14,0.8,5.31,72.55,13,70,109,0.09,Yes
Chicken or turkey,"Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce",27345440,341,15.54,26,0.8,8.05,69.77,16,122,123,0.15,No
Chicken or turkey,"Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",27345450,7,16.69,26,0.7,8.09,68.62,18,125,129,0.15,No
Chicken or turkey,"Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",27345510,326,14.84,15,1.1,5.32,73.02,14,64,159,0.05,Yes
Chicken or turkey,"Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",27345520,6,15.94,15,1,5.35,71.92,16,66,164,0.05,No
Chicken or turkey pot pie,Chicken or turkey pot pie,27347100,132,19.21,15,1.1,5.11,62.58,11,72,110,0.11,Yes
Chicken or turkey,"Chicken or turkey, stuffing, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",27347200,463,13.28,21,1.3,7.12,69.53,14,78,135,0.08,Yes
Chicken or turkey,"Chicken or turkey,stuffing, and vegetables excluding carrots, broccoli, and dark green leafy; no sauce",27347210,9,14.85,21,1.2,7.17,67.97,17,81,142,0.08,Yes
Chicken or turkey,"Chicken or turkey, stuffing, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",27347220,342,11.27,17,1,5.46,74.81,11,63,111,0.06,Yes
Chicken or turkey,"Chicken or turkey, stuffing, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",27347230,6,11.81,16,0.8,5.22,74.98,13,62,111,0.06,No
Chicken or turkey,"Chicken or turkey, dumplings, and vegetables including carrots, broccoli, and/or dark green leafy; gravy",27347240,330,11.52,17,0.9,5.53,74.92,10,84,106,0.1,No
Chicken or turkey,"Chicken or turkey, dumplings, and vegetables excluding carrots, broccoli, and dark green leafy; gravy",27347250,6,12.69,17,0.8,5.59,74.14,12,87,112,0.1,No
Chicken fricassee,"Chicken fricassee, Puerto Rican style",27348100,2,7.13,44,1.2,12.14,67.5,21,129,316,0.17,Yes
Paella with seafood,Paella with seafood,27350020,3,16.42,25,0.8,8.03,68.8,14,87,112,1.24,No
Seafood stew with potatoes and vegetables excluding carrots,"Seafood stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",27350030,1,5.72,39,0.8,8.68,81.97,20,111,237,2.43,No
Shrimp chow mein or chop suey with noodles,Shrimp chow mein or chop suey with noodles,27350050,16,11.37,65,1.5,9.05,73.82,19,123,142,0.51,Yes
Shrimp creole,"Shrimp creole, with rice",27350060,0,11.9,108,0.8,10.12,72.87,22,106,114,0.32,Yes
Tuna pot pie,Tuna pot pie,27350070,347,16.5,12,1.3,8.96,60.07,16,108,130,0.47,No
Tuna noodle casserole with vegetables,"Tuna noodle casserole with vegetables, cream or white sauce",27350080,1,14.04,30,0.8,9.01,69.64,20,114,171,0.93,No
Fish,"Fish, noodles, and vegetables including carrots, broccoli, and/or dark green leafy; cheese sauce",27350090,341,14.16,31,1.1,8.35,70.8,23,123,120,0.28,Yes
Fish,"Fish, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",27350100,7,15.32,31,1.1,8.39,69.65,25,126,125,0.28,Yes
Bouillabaisse,Bouillabaisse,27350110,13,2.15,41,0.3,13.42,79.2,22,169,281,2.34,No
Oyster pie,Oyster pie,27350200,0,19.95,23,0.8,5.38,57.36,16,94,161,2.41,Yes
Seafood stew with potatoes and vegetables including carrots,"Seafood stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",27350310,156,5.98,39,0.9,8.82,81.83,20,113,245,2.47,Yes
Tuna noodle casserole with vegetables and mushroom sauce,Tuna noodle casserole with vegetables and mushroom sauce,27350410,1,12.97,23,1,7.97,73.41,17,92,144,0.78,Yes
Codfish with starchy vegetables,"Codfish with starchy vegetables, Puerto Rican style",27351010,38,18.45,6,2.7,3.53,71.46,27,74,419,0.09,Yes
Stewed codfish,"Stewed codfish, Puerto Rican style",27351030,6,8.48,30,1.3,10.87,75.88,20,154,281,0.99,No
Biscayne codfish,"Biscayne codfish, Puerto Rican style",27351040,8,11.08,19,1.9,9.2,65.83,27,107,408,0.34,No
Stew,"Stew, NFS",27360000,166,8.24,14,1.2,5.23,81.27,12,57,206,0.43,No
Goulash,"Goulash, NFS",27360010,2,8.7,54,0.9,15.31,67.31,18,116,209,0.79,Yes
Meat pie,"Meat pie, NFS",27360050,132,19.21,15,1.1,5.11,62.58,11,72,110,0.11,No
Chow mein or chop suey,"Chow mein or chop suey, NS as to type of meat, with noodles",27360080,16,11.15,33,1.5,9.91,72.26,14,99,174,0.11,No
Paella,"Paella, NFS",27360090,1,15.79,33,0.6,9.54,65.17,15,100,126,1.31,Yes
Brunswick stew,Brunswick stew,27360100,2,7.32,37,1.2,11.26,75.32,22,116,257,0.19,Yes
Chow mein or chop suey,"Chow mein or chop suey, various types of meat, with noodles",27360120,16,11.16,26,1.5,10.36,71.65,14,103,198,0.3,No
Stewed variety meats,"Stewed variety meats, mostly liver, Puerto Rican style",27361010,29,5.74,201,1,15.78,74.39,15,232,278,27.45,No
Stewed tripe,"Stewed tripe, with potatoes, Puerto Rican style",27362000,349,9.45,53,1.7,8.57,75.78,21,83,273,0.46,Yes
Gumbo with rice,Gumbo with rice,27363000,0,6.54,30,0.9,8.16,80.47,15,82,176,0.16,Yes
Jambalaya with meat and rice,Jambalaya with meat and rice,27363100,1,8.64,58,0.7,13.77,68.27,19,136,241,0.32,No
Beef and vegetables including carrots,"Beef and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, no sauce",27410210,858,3,31,1.4,11.41,77.52,13,85,164,0.59,Yes
Beef and vegetables excluding carrots,"Beef and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, no sauce",27410220,14,5.16,27,1.1,10.03,76.48,16,80,154,0.51,Yes
Beef shish kabob with vegetables,"Beef shish kabob with vegetables, excluding potatoes",27410250,2,5,41,0.9,14.7,74.27,16,111,231,0.77,Yes
Beef with vegetables including carrots,"Beef with vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, tomato-based sauce",27411100,577,4.48,21,1.7,8.24,78.86,15,70,248,0.4,Yes
Swiss steak,Swiss steak,27411120,126,3.55,31,0.9,10.82,75.71,16,110,262,1.05,No
Beef rolls,"Beef rolls, stuffed with vegetables or meat mixture, tomato-based sauce",27411150,362,6.46,56,0.7,20.53,61.08,24,195,383,2.04,No
Beef with vegetables excluding carrots,"Beef with vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, tomato-based sauce",27411200,10,5.96,19,1.4,7.67,77.85,18,68,237,0.37,No
Beef with vegetables including carrots,"Beef with vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, mushroom sauce",27414100,511,5.24,20,1.1,7.8,78.61,10,74,145,0.43,Yes
Beef with vegetables excluding carrots,"Beef with vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, mushroom sauce",27414200,10,6.97,20,1,7.85,76.85,13,78,153,0.43,No
Beef and vegetables including carrots,"Beef and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce",27415100,588,4.79,31,1.3,11.75,73.41,17,97,237,0.59,No
Beef and broccoli,Beef and broccoli,27415110,12,5.31,25,1.4,10.55,71.66,24,117,307,0.65,Yes
Beef,"Beef, tofu, and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce",27415120,568,4.88,13,1.3,7.33,78.9,19,78,209,0.26,Yes
Szechuan beef,Szechuan beef,27415130,323,7.29,14,1.5,7.08,78.82,15,76,204,0.48,No
Hunan beef,Hunan beef,27415140,323,7.29,14,1.5,7.08,78.82,15,76,204,0.48,No
Beef chow mein or chop suey,"Beef chow mein or chop suey, no noodles",27415150,19,3.85,25,0.8,10.76,81.66,11,109,218,0.67,Yes
Kung Pao beef,Kung Pao beef,27415170,2,4.79,46,1.1,18.34,61.06,29,142,242,0.89,Yes
Beef and vegetables excluding carrots,"Beef and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, soy-based sauce",27415200,10,4.39,32,0.9,12.03,73.24,17,95,216,0.61,No
Beef,"Beef, tofu, and vegetables excluding carrots, broccoli,  and dark-green leafy; no potatoes, soy-based sauce",27415220,9,4.5,14,0.9,7.43,78.95,19,76,188,0.27,Yes
Beef and vegetables,"Beef and vegetables, Hawaiian style",27416100,380,14.13,7,1.8,4.33,76.63,39,78,267,0.09,Yes
Pepper steak,Pepper steak,27416150,7,4.42,32,0.7,11.87,73.47,16,89,202,0.61,Yes
Beef,"Beef, ground, with egg and onion",27416200,0,1.05,104,0.1,21.86,60.3,18,174,270,2.28,Yes
Beef salad,Beef salad,27416250,7,2.82,61,0.4,17.9,58.92,15,118,204,1.3,No
Beef taco filling: beef,"Beef taco filling: beef, cheese, tomato, taco sauce",27416300,21,6.33,44,0.9,12.99,65.96,17,160,273,1.07,No
Stir fried beef and vegetables in soy sauce,Stir fried beef and vegetables in soy sauce,27416400,0,4.25,67,0.9,10.85,79.87,18,124,255,0.46,No
Beef and vegetables including carrots,"Beef and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, gravy",27416450,581,4.5,23,1,8.06,78.93,10,67,130,0.4,Yes
Beef and vegetables excluding carrots,"Beef and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, gravy",27416500,11,6.47,23,0.9,8.11,76.95,13,71,139,0.4,No
Seasoned shredded soup meat,Seasoned shredded soup meat,27418110,23,3.64,45,0.9,18.22,63.54,21,183,331,1.61,No
Beef stew with vegetables excluding potatoes,"Beef stew with vegetables excluding potatoes, Puerto Rican style",27418210,420,6.73,41,2.2,15.08,60.86,26,162,385,1.38,Yes
Corned beef with tomato sauce and onion,"Corned beef with tomato sauce and onion, Puerto Rican style",27418310,0,2.04,60,0.4,19.18,65.94,13,85,155,1.07,Yes
Beef steak with onions,"Beef steak with onions, Puerto Rican style",27418410,0,3.94,62,0.7,20.92,46.21,23,191,352,2.24,No
Cabbage with ham hocks,Cabbage with ham hocks,27420010,22,4.5,20,1.7,7.97,83.68,15,106,230,0.17,No
Ham or pork salad,Ham or pork salad,27420020,7,2.75,37,0.4,13.31,63,14,128,226,0.39,Yes
Frankfurters or hot dogs and sauerkraut,Frankfurters or hot dogs and sauerkraut,27420040,2,3.52,38,1.1,7.94,67.68,12,87,277,0.54,No
Pork and vegetables including carrots,"Pork and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, no sauce",27420060,898,3.14,29,1.5,11.2,77.05,16,109,234,0.26,Yes
Greens with ham or pork,Greens with ham or pork,27420080,6,4.68,7,3.6,4.91,86.78,30,73,303,0.05,Yes
Pork,"Pork, tofu, and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-base sauce",27420100,568,4.88,12,1.3,7.03,79.11,20,86,234,0.11,Yes
Pork and vegetables,"Pork and vegetables, Hawaiian style",27420110,331,7.33,18,1.7,7.37,80.61,19,81,245,0.16,Yes
Pork and watercress with soy-based sauce,Pork and watercress with soy-based sauce,27420120,0,3.46,39,0.5,14.87,67.59,21,142,295,0.36,No
Kung Pao pork,Kung Pao pork,27420150,2,4.79,41,1.1,17.3,61.79,33,171,330,0.4,No
Moo Shu pork,"Moo Shu pork, without Chinese pancake",27420160,1,4.04,92,0.9,10.43,72.08,25,140,265,0.28,No
Pork and onions with soy-based sauce,Pork and onions with soy-based sauce,27420170,0,5.51,28,0.8,11.05,73.16,19,112,261,0.26,Yes
Pork hash,Pork hash,27420200,1,1.89,56,0.5,12.96,69.6,17,146,264,0.44,No
Ham and vegetables including carrots broccoli,"Ham and vegetables including carrots broccoli, and/or dark- green leafy; no potatoes, no sauce",27420250,740,2.59,18,1.2,7.45,79.45,12,99,188,0.21,No
Ham and vegetables excluding carrots,"Ham and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, no sauce",27420270,14,5.12,18,1.1,7.56,77.34,16,105,200,0.21,Yes
Pork and vegetables excluding carrots,"Pork and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, no sauce",27420350,15,5.52,26,1.2,10.07,76.16,19,103,221,0.24,Yes
Pork,"Pork, tofu, and vegetables, excluding carrots, broccoli, and dark-green leafy; no potatoes, soy-based sauce",27420370,9,4.5,12,0.9,7.12,79.17,20,85,214,0.12,No
Pork chow mein or chop suey,"Pork chow mein or chop suey, no noodles",27420390,19,3.85,27,0.8,10.34,80.49,15,102,231,0.24,No
Pork and vegetables including carrots,"Pork and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, tomato-based sauce",27420400,577,4.48,19,1.7,7.76,79.2,17,83,288,0.17,Yes
Pork and vegetables excluding  carrots,"Pork and vegetables excluding  carrots, broccoli, and dark-green leafy; no potatoes, tomato-based sauce",27420410,11,6.44,19,1.5,7.81,77.23,21,87,297,0.17,Yes
Sausage and vegetables including  carrots,"Sausage and vegetables including  carrots, broccoli, and/or dark-green leafy; no potatoes, tomato-based sauce",27420450,592,4.94,20,1.7,5.56,78.72,15,61,276,0.23,No
Sausage and vegetables,"Sausage and vegetables, excluding carrots, broccoli, and dark-green leafy; no potatoes, tomato-based sauce",27420460,11,6.94,20,1.6,5.62,76.72,18,65,285,0.23,Yes
Sausage and peppers,"Sausage and peppers, no sauce",27420470,5,3.26,61,0.3,13.99,60.88,16,109,263,0.76,Yes
Pork and vegetables including carrots,"Pork and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce",27420500,588,4.79,27,1.3,11.06,73.89,20,116,295,0.26,Yes
Pork and vegetables excluding carrots,"Pork and vegetables excluding carrots, broccoli, and dark- green leafy; no potatoes, soy-based sauce",27420510,10,4.39,29,0.9,11.31,73.75,20,115,277,0.27,Yes
Pork shish kabob with vegetables,"Pork shish kabob with vegetables, excluding potatoes",27420520,2,5,37,0.9,13.78,74.91,20,136,309,0.33,No
Stuffed christophine,"Stuffed christophine, Puerto Rican style",27421010,6,4.44,100,1.5,12.62,65.27,22,152,307,0.44,No
Pork chop stewed with vegetables,"Pork chop stewed with vegetables, Puerto Rican style",27422010,18,5.22,27,1.3,10.82,79.26,18,116,286,0.22,No
Lamb or mutton stew with vegetables including carrots,"Lamb or mutton stew with vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, gravy",27430400,376,6.37,39,1.8,13.52,74.77,19,98,173,0.97,Yes
Lamb or mutton stew with vegetables excluding carrots,"Lamb or mutton stew with vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, gravy",27430410,8,6.83,39,1.8,14.41,73.33,19,108,150,0.97,No
Veal goulash with vegetables excluding carrots,"Veal goulash with vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, tomato-based sauce",27430500,0,2.79,45,0.4,12.59,79.72,19,136,272,0.42,No
Veal goulash with vegetables including carrots,"Veal goulash with vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, tomato-based sauce",27430510,228,2.59,47,0.4,12.96,79.35,19,140,289,0.44,Yes
Veal with vegetables including carrots,"Veal with vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, cream or white sauce",27430580,466,5.98,36,0.8,9.36,76.28,16,107,229,0.41,Yes
Veal with vegetables excluding carrots,"Veal with vegetables excluding carrots, broccoli, and dark-green leafy; and potatoes, cream or white sauce",27430590,14,6.68,39,0.9,10.67,74.78,20,108,209,0.4,No
Lamb shish kabob with vegetables,"Lamb shish kabob with vegetables, excluding potatoes",27430610,2,5,39,0.9,12.12,75.95,18,114,236,1.22,No
Chicken or turkey and vegetables including carrots,"Chicken or turkey and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, no sauce",27440110,823,2.88,37,1.4,9.66,78.41,13,96,166,0.12,Yes
Chicken or turkey and vegetables excluding carrots,"Chicken or turkey and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, no sauce",27440120,14,5.08,33,1.1,8.72,77.07,16,92,160,0.11,Yes
Chicken or turkey shish kabob with vegetables,"Chicken or turkey shish kabob with vegetables, excluding potatoes",27440130,2,5,51,0.9,12.95,77.17,18,131,243,0.16,No
Chicken or turkey creole,"Chicken or turkey creole, without rice",27441120,2,2.96,55,1.1,13.82,77.76,19,131,277,0.18,Yes
Chicken or turkey and vegetables including carrots,"Chicken or turkey and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, gravy",27442110,577,4.47,28,1,7.1,79.83,11,77,136,0.08,Yes
Chicken or turkey and vegetables excluding carrots,"Chicken or turkey and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, gravy",27442120,11,6.43,28,0.9,7.16,77.86,14,81,145,0.08,Yes
Chicken or turkey a la king with vegetables including carrots,"Chicken or turkey a la king with vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, cream, white, or soup-based sauce",27443110,556,6.81,78,0.6,9.37,68.68,14,127,186,0.24,Yes
Chicken or turkey a la king with vegetables excluding carrorts,"Chicken or turkey a la king with vegetables excluding carrorts, broccoli, and dark-green leafy; no potatoes, cream, white, or soup-based sauce",27443120,7,6.35,77,0.5,9.53,69.26,14,132,170,0.24,No
Chicken or turkey divan,Chicken or turkey divan,27443150,8,3.99,70,1.3,15.51,71.98,19,182,206,0.27,No
Chicken or turkey and vegetables including carrots,"Chicken or turkey and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce",27445110,66,5.38,21,0.9,8.18,80.24,15,73,185,0.07,No
Chicken or turkey and vegetables excluding carrots,"Chicken or turkey and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, soy-based sauce",27445120,10,4.44,40,0.9,10.6,75.54,18,110,221,0.13,Yes
Chicken or turkey and vegetables including carrots,"Chicken or turkey and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, tomato-based sauce",27445125,569,4.42,26,1.6,7.23,79.12,16,79,250,0.08,No
Chicken or turkey and vegetables excluding carrots,"Chicken or turkey and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, tomato-based sauce",27445130,11,6.35,26,1.5,7.28,77.18,19,83,259,0.08,No
General Tso chicken,General Tso chicken,27445150,2,23.99,53,0.9,12.9,45.15,18,127,201,0.22,Yes
Moo Goo Gai Pan,Moo Goo Gai Pan,27445180,3,4.69,17,1.2,7.15,84.83,11,78,197,0.04,Yes
Kung pao chicken,Kung pao chicken,27445220,341,6.87,26,1.5,9.76,74.78,24,94,218,0.11,No
Almond chicken,Almond chicken,27445250,2,4.69,57,1.2,16.07,64.65,38,172,260,0.21,No
Chicken or turkey chow mein or chop suey,"Chicken or turkey chow mein or chop suey, no noodles",27446100,19,3.84,37,0.8,9.78,82.1,14,99,183,0.12,Yes
Chicken or turkey salad,"Chicken or turkey salad, made with mayonnaise",27446200,7,2.8,66,0.4,13.97,63.07,15,131,206,0.21,Yes
Chicken or turkey salad with nuts and/or fruits,Chicken or turkey salad with nuts and/or fruits,27446205,6,5.95,53,1.1,12.51,62.35,27,134,232,0.17,No
Chicken or turkey salad with egg,Chicken or turkey salad with egg,27446220,7,2.66,92,0.4,13.85,64.06,14,135,199,0.29,Yes
Chicken or turkey salad,"Chicken or turkey salad, made with light mayonnaise",27446225,7,4.68,60,0.4,13.6,72.15,15,128,205,0.18,Yes
Chicken or turkey salad,"Chicken or turkey salad, made with mayonnaise-type salad dressing",27446230,7,5.87,60,0.4,13.72,71.11,15,128,207,0.19,Yes
Chicken or turkey salad,"Chicken or turkey salad, made with light mayonnaise-type salad dressing",27446235,7,4.68,60,0.4,13.6,72.15,15,128,205,0.18,Yes
Chicken or turkey salad,"Chicken or turkey salad, made with creamy dressing",27446240,7,3.94,62,0.4,13.81,67.62,15,166,212,0.22,No
Chicken or turkey salad,"Chicken or turkey salad, made with light creamy dressing",27446245,11,4.2,56,0.4,13.79,73.89,15,125,205,0.2,No
Chicken or turkey salad,"Chicken or turkey salad, made with Italian dressing",27446250,7,5.29,56,0.4,13.67,71.58,16,128,217,0.18,No
Chicken or turkey salad,"Chicken or turkey salad, made with light Italian dressing",27446255,7,4.85,56,0.4,13.6,75.24,15,127,218,0.18,Yes
Chicken or turkey salad,"Chicken or turkey salad, made with any type of fat free dressing",27446260,7,6.21,57,0.9,13.37,74.98,15,124,206,0.18,No
Chicken or turkey garden salad,"Chicken or turkey garden salad, chicken and/or turkey, tomato and/or carrots, other vegetables, no dressing",27446300,220,2.84,29,1,10.22,84.94,22,102,261,0.09,No
Chicken or turkey garden salad,"Chicken or turkey garden salad, chicken and/or turkey, other vegetables excluding tomato and carrots, no dressing",27446310,2,2.41,31,0.9,11,84.52,22,109,257,0.1,Yes
Chicken or turkey garden salad with bacon and cheese,"Chicken or turkey garden salad with bacon and cheese, chicken and/or turkey, bacon, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing",27446315,156,2.78,34,0.9,11.08,79.36,23,137,251,0.21,Yes
Chicken or turkey,"Chicken or turkey, breaded, fried, garden salad with bacon and cheese, chicken and/or turkey, bacon, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing",27446320,172,6.13,21,1.2,6.92,77.82,23,119,252,0.17,No
Chicken or turkey garden salad with cheese,"Chicken or turkey garden salad with cheese, chicken and/or turkey, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing",27446330,160,2.8,32,0.9,10.4,81.29,23,129,243,0.18,No
Chicken or turkey,"Chicken or turkey, breaded, fried, garden salad with cheese, chicken and/or turkey, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing",27446332,385,6.19,22,1.3,6.62,77.92,22,125,245,0.18,Yes
Asian chicken or turkey garden salad,"Asian chicken or turkey garden salad, chicken and/or turkey, lettuce, fruit, nuts, no dressing",27446350,24,9.42,27,2,11.53,72.77,36,126,265,0.09,No
Asian chicken or turkey garden salad with crispy noodles,"Asian chicken or turkey garden salad with crispy noodles, chicken and/or turkey, lettuce, fruit, nuts, crispy noodles, no dressing",27446355,23,7.91,24,1.9,10.36,75.54,38,117,269,0.08,Yes
Chicken or turkey caesar garden salad,"Chicken or turkey caesar garden salad, chicken and/or turkey, lettuce, tomato, cheese, no dressing",27446360,18,2.71,23,1,8.68,85.45,24,101,264,0.11,Yes
Chicken or turkey,"Chicken or turkey, breaded, fried, caesar garden salad, chicken and/or turkey, lettuce, tomatoes, cheese, no dressing",27446362,17,6.81,18,1.2,6.47,78.48,24,118,257,0.14,Yes
Chicken or turkey and vegetables including carrots,"Chicken or turkey and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, cheese sauce",27446400,490,3.88,37,0.9,9.83,77.53,15,147,155,0.21,Yes
